Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
PROGRESLIF,40.4,3.06,40.4,38.7,40.4,39.2,1.2,179,1.46,36813
PROVATIINS,32.7,-0.61,33.3,32.6,32.7,32.9,-0.2,76,0.83,25319
PTL,48.3,0.0,48.7,47.8,48.3,48.3,0.0,41,0.58,12095
PUBALIBANK,29.3,0.69,29.4,29.1,29.3,29.1,0.2,36,1.21,41338
PURABIGEN,18.5,-2.12,18.9,18.5,18.5,18.9,-0.4,22,0.28,15142
QUASEMIND,30.5,-1.93,31.4,30.5,30.5,31.1,-0.6,236,5.81,187123
QUEENSOUTH,13.9,0.0,14.0,13.8,13.9,13.9,0.0,82,1.44,103729
RAHIMAFOOD,84.3,-1.75,86.8,83.8,84.3,85.8,-1.5,163,2.9,34359
RAHIMTEXT,116.0,-1.53,116.5,115.6,116.0,117.8,-1.8,42,0.5,4297
RAKCERAMIC,22.6,-0.44,22.9,22.5,22.6,22.7,-0.1,87,0.65,28647
RANFOUNDRY,139.9,0.29,142.8,139.8,139.9,139.5,0.4,33,0.47,3365
RDFOOD,27.2,-1.09,28.3,27.1,27.2,27.5,-0.3,693,22.89,832367
RECKITTBEN,3991.0,0.0,4029.9,3987.5,3991.0,3991.1,-0.1,53,0.87,218
REGENTTEX,4.3,0.0,4.4,4.2,4.3,4.3,0.0,11,0.01,1951
RELIANCE1,21.8,-3.54,22.8,21.6,21.8,22.6,-0.8,171,13.09,592529
RELIANCINS,54.7,-4.87,56.0,53.5,54.7,57.5,-2.8,180,1.81,33150
RENATA,503.4,-0.73,511.9,503.4,503.4,507.1,-3.7,598,10.57,20867
RENWICKJA,0.0,0.0,0.0,0.0,0.0,605.5,0.0,0,0.0,0
REPUBLIC,27.9,0.0,28.4,27.8,27.9,27.9,0.0,73,0.72,25634
RINGSHINE,4.0,-2.44,4.2,4.0,4.0,4.1,-0.1,71,0.86,211281
RNSPIN,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0,0.0,0
ROBI,28.7,0.0,28.9,28.7,28.7,28.7,0.0,649,26.58,923516
RSRMSTEEL,13.4,2.29,14.4,12.9,13.4,13.1,0.3,512,7.83,565696
